shipname,teu,maxspd,mean,stddev,stops,longbeach_cargo
EVERFINE,11888,23,50.26261298,2.513130649,3,614
CMACGMTITAN,11388,22,50.44177591,2.522088796,3,643
CMACGMRIGOLETTO,9415,22,41.94790595,2.097395297,5,1075
APLVANCOUVER,9326,21,45.43433401,2.2717167,2,1637
NYKVESTA,9012,21,48.50216241,2.42510812,2,1637
CMACGMMEXICO,15072,22,54.97676223,2.748838112,2,1763
OOCLTOKYO,8063,25,33.75982194,1.687991097,3,3955
OOCLOAKLAND,5888,27,-4.499754962,-0.224987748,0,4244
CMACGMPANAMA,15072,22,59.06451544,2.953225772,2,4244
COSCONETHERLANDS,13386,24,37.15438073,1.857719037,3,4484
CSCLYELLOWSEA,10036,24,36.80648806,1.840324403,2,4516
EVERSTEADY,7024,25,39.91078148,1.995539074,2,4745
EVERFOREVER,12010,23,42.85981835,2.142990918,2,7522
CMACGMGEMINI,11388,22,39.28654435,1.964327218,3,8673
APLCOLUMBUS,9326,21,16.82778542,0.841389271,1,9285
CSCLSOUTHCHINASEA,10036,24,31.11228865,1.555614433,1,9986
CMACGMT.ROOSEVELT,14414,22,49.581858,2.4790929,2,10562
EVERFRONT,12118,23,36.3276606,1.81638303,2,12118
COSCOPORTUGAL,13386,24,35.82943995,1.791471998,2,12177
SEATTLEC,4253,25,-13.83366005,-0.691683003,0,13386
COSCOENGLAND,13386,24,44.26619973,2.213309987,1,13386
APLSANTIAGO,9326,21,36.41171721,1.820585861,2,13830
CMACGMCORTEREAL,13830,24,39.60444063,1.980222032,1,13830
CMACGMAMERIGOVESPUCCI,13830,22,36.07448032,1.803724016,1,13830
APLSENTOSA,13892,23,45.52507854,2.276253927,1,13892
CMACGMJ.MADISON,14414,22,41.46657274,2.073328637,1,14414
COSCOSHIPPINGDENALI,14566,23,38.82704801,1.9413524,2,14566
CMACGMHOPE,14806,21,40.2749211,2.013746055,2,14806
CMACGMBRAZIL,15072,22,46.09671853,2.304835927,2,15072
