ship_name,capacity_teu,max_speed,est_cost_per_nm_at_18knots,start_port,port_1,cargo_1,dist_1,port_2,cargo_2,dist_2,port_3,cargo_3,dist_3,port_4,cargo_4,dist_4,port_5,cargo_5,dist_5
APLCOLUMBUS,9326,21,90.21134208333334,Kaohsiung,Long Beach,9285,6117.0,,,,,,,,,,,,
OOCLOAKLAND,5888,27,76.12485333333333,Kaohsiung,,,,,,,,,,,,,,,
PRESIDENTFDROOSEVELT,6589,26,78.99705479166667,Kaohsiung,Seattle-Tacoma,271,5500.0,Vancouver,5855,126.0,,,,,,,,,
PRESIDENTCLEVELAND,6552,26,78.845455,Kaohsiung,Seattle-Tacoma,3807,5500.0,Oakland,2745,796.0,,,,,,,,,
CMACGMMEXICO,15072,22,113.75438,Kaohsiung,Los Angeles,13309,6117.0,Long Beach,1763,3.0,,,,,,,,,
EVERSTEADY,7024,25,80.77937666666666,Laem Chabang,Oakland,2183,7399.0,Long Beach,4745,369.0,,,,,,,,,
APLVANCOUVER,9326,21,90.21134208333334,Laem Chabang,Seattle-Tacoma,3150,7111.0,Vancouver,4528,126.0,,,,,,,,,
SEATTLEC,4253,25,69.42578145833333,Laem Chabang,,,,,,,,,,,,,,,
CMACGMPANAMA,15072,22,113.75438,Laem Chabang,Long Beach,4244,7706.0,Los Angeles,10828,3.0,,,,,,,,,
APLSANTIAGO,9326,21,90.21134208333334,Kelang,Seattle-Tacoma,3700,7272.0,Vancouver,5319,126.0,,,,,,,,,
CMACGMT.ROOSEVELT,14414,22,111.05836208333332,Kelang,Oakland,2564,7566.0,Long Beach,10562,369.0,,,,,,,,,
EVERLOVELY,8508,25,86.8597575,Kelang,,,,,,,,,,,,,,,
CMACGMHERMES,15536,24,115.65552333333332,Kelang,Los Angeles,12723,7879.0,,,,,,,,,,,,
CMACGMT.JEFFERSON,14414,22,111.05836208333332,Shanghai,Oakland,0,5401.0,Los Angeles,14414,369.0,,,,,,,,,
CMACGMBLUEWHALE,5095,22,72.87570104166667,Shanghai,,,,,,,,,,,,,,,
CMACGMGEMINI,11388,22,98.65995749999999,Shanghai,Oakland,132,5401.0,Long Beach,8673,369.0,Los Angeles,2583,3.0,,,,,,
CMACGMMARCOPOLO,16022,24,117.64680708333333,Shanghai,Oakland,0,5401.0,Los Angeles,16022,369.0,,,,,,,,,
OOCLUTAH,8825,26,88.15859895833333,Shanghai,Seattle-Tacoma,8431,5094.0,,,,,,,,,,,,
CMACGMHOPE,14806,21,112.66450041666667,Shanghai,Oakland,0,5401.0,Long Beach,14806,369.0,,,,,,,,,
OOCLLONDON,8063,25,85.03646270833333,Shanghai,Vancouver,8063,5110.0,,,,,,,,,,,,
ONEOLYMPUS,8628,21,87.35143249999999,Shanghai,Vancouver,8628,5110.0,,,,,,,,,,,,
OOCLVANCOUVER,5888,25,76.12485333333333,Shanghai,,,,,,,,,,,,,,,
EVERFRONT,12118,23,101.65098041666667,Shanghai,Oakland,0,5401.0,Long Beach,12118,369.0,,,,,,,,,
CSCLEASTCHINASEA,10036,24,93.12041916666666,Shanghai,,,,,,,,,,,,,,,
CMACGMLAPEROUSE,13830,22,108.66554375,Shanghai,Oakland,0,5401.0,Los Angeles,13830,369.0,,,,,,,,,
CMACGMJULESVERNE,16022,24,117.64680708333333,Shanghai,Oakland,16022,5401.0,,,,,,,,,,,,
CMACGMNEWJERSEY,5095,22,72.87570104166667,Shanghai,,,,,,,,,,,,,,,
COSCOSHIPPINGDENALI,14566,23,111.68115041666667,Shanghai,Oakland,0,5401.0,Long Beach,14566,369.0,,,,,,,,,
CMACGMA.LINCOLN,14414,22,111.05836208333332,Shanghai,Oakland,0,5401.0,Los Angeles,14414,369.0,,,,,,,,,
CMACGMMEDEA,9415,23,90.57600104166667,Shanghai,Vancouver,9415,5110.0,,,,,,,,,,,,
CMACGMSWORDFISH,5095,22,72.87570104166667,Shanghai,,,,,,,,,,,,,,,
NYKORION,8628,21,87.35143249999999,Shanghai,Vancouver,8620,5110.0,,,,,,,,,,,,
CSCLAUTUMN,10036,24,93.12041916666666,Shanghai,Seattle-Tacoma,9989,5094.0,,,,,,,,,,,,
CMACGMCHRISTOPHECOLOMB,13830,22,108.66554375,Shanghai,Oakland,0,5401.0,Los Angeles,13830,369.0,,,,,,,,,
CMACGMRIGOLETTO,9415,22,90.57600104166667,Melbourne,Los Angeles,1295,7032.0,Long Beach,1075,3.0,Oakland,244,369.0,Seattle-Tacoma,295,807.0,Vancouver,425,126.0
BALTICNORTH,4228,19,69.32334916666667,Manila,Seattle-Tacoma,319,5630.0,Vancouver,3909,126.0,,,,,,,,,
CMACGMGEORGIA,5095,22,72.87570104166667,Manila,,,,,,,,,,,,,,,
ONEHONOLULU,9592,23,91.30122166666666,Manila,Seattle-Tacoma,2701,5630.0,Oakland,1808,796.0,Los Angeles,5083,369.0,,,,,,
EVEREAGLE,6332,27,77.94405083333334,Manila,,,,,,,,,,,,,,,
EVERFOREVER,12010,23,101.20847291666666,Manila,Los Angeles,3978,6530.0,Long Beach,7522,3.0,,,,,,,,,
EVERSHINE,7024,25,80.77937666666666,Kobe,Seattle-Tacoma,1762,4534.0,Vancouver,2527,126.0,Oakland,1169,812.0,,,,,,
CSCLYELLOWSEA,10036,24,93.12041916666666,Kobe,Long Beach,4516,5185.0,Los Angeles,5440,3.0,,,,,,,,,
PRESIDENTEISENHOWER,7831,24,84.08589104166666,Hong Kong,Seattle-Tacoma,766,5740.0,Vancouver,7065,126.0,,,,,,,,,
CMACGMCORTEREAL,13830,24,108.66554375,Hong Kong,Long Beach,13830,6380.0,,,,,,,,,,,,
EVERELITE,6332,25,77.94405083333334,Hong Kong,,,,,,,,,,,,,,,
CMACGMSYMI,14812,21,112.68908416666667,Hong Kong,Los Angeles,14812,6380.0,,,,,,,,,,,,
APLGWANGYANG,10106,22,93.40722958333333,Hong Kong,Seattle-Tacoma,9873,5740.0,,,,,,,,,,,,
CMACGMJ.MADISON,14414,22,111.05836208333332,Hong Kong,Long Beach,14414,6380.0,,,,,,,,,,,,
NYKOCEANUS,8628,21,87.35143249999999,Hong Kong,,,,,,,,,,,,,,,
EVERLADEN,8452,25,86.63030916666668,Hong Kong,,,,,,,,,,,,,,,
ONEHUMBER,8212,25,85.64695916666668,Hong Kong,Vancouver,8212,5756.0,,,,,,,,,,,,
CMACGMCHILE,15072,22,113.75438,Hong Kong,,,,,,,,,,,,,,,
OOCLSOUTHAMPTON,8063,25,85.03646270833333,Singapore,Oakland,7037,7356.0,,,,,,,,,,,,
CMACGMTENERE,14812,21,112.68908416666667,Singapore,Los Angeles,14812,7669.0,,,,,,,,,,,,
APLSENTOSA,13892,23,108.91957583333334,Singapore,Long Beach,13892,7669.0,,,,,,,,,,,,
CMACGMTIGRIS,10622,22,95.52143208333334,Singapore,,,,,,,,,,,,,,,
CSCLSUMMER,10036,24,93.12041916666666,Singapore,Seattle-Tacoma,10036,7062.0,,,,,,,,,,,,
COSCOITALY,13386,24,106.84634625,Singapore,Los Angeles,13386,7669.0,,,,,,,,,,,,
