index,MMSI,anchor arrival,arrival_passing_time
0,211331640,NaN,2021-01-11T09:14:37
1,538007801,NaN,2021-01-06T03:15:13
2,357880000,NaN,NaN
3,538007617,NaN,2021-01-01T21:42:09
4,477738600,NaN,NaN
5,565963000,NaN,2021-01-02T17:30:45
6,538007581,NaN,2021-01-03T00:45:38
7,370157000,NaN,NaN
8,240801000,NaN,2021-01-03T12:41:15
9,565747000,NaN,NaN
10,636091959,NaN,2021-01-04T15:28:50
11,353243000,NaN,2021-01-05T04:09:17
12,367641230,NaN,2021-01-05T13:16:24
13,636018471,2021-01-10T22:03:47,2021-01-10T22:39:08
14,352718000,NaN,NaN
15,229598000,NaN,2021-01-14T14:22:09
16,432664000,NaN,2021-01-08T11:16:15
17,352361000,NaN,2021-01-08T18:21:38
18,538007479,2021-01-15T22:09:44,NaN
19,477607700,NaN,2021-01-10T13:43:28
20,431205000,NaN,2021-01-11T07:57:18
21,538008552,NaN,2021-01-12T00:28:32
22,310764000,NaN,2021-01-12T02:52:51
23,564548000,NaN,2021-01-13T17:18:56
24,373828000,NaN,2021-01-13T17:11:35
25,566794000,2021-01-15T23:36:27,NaN
26,355368000,NaN,2021-01-15T15:29:48
