Destination,latitude,longitude,source port,source country,Distance (NM)
Los Angeles,33.75,118.2708333,Busan,Korea,5229
Los Angeles,33.75,118.2708333,Hakodate,Japan,4576
Los Angeles,33.75,118.2708333,Ho Chi Minh,Vietam,7403
Los Angeles,33.75,118.2708333,Singapore,Singapore,7669
Los Angeles,33.75,118.2708333,Hong Kong,China,6380
Los Angeles,33.75,118.2708333,Kobe,Japan,5185
Los Angeles,33.75,118.2708333,Manila,Philippines,6530
Los Angeles,33.75,118.2708333,Melbourne,Austrailia,7032
Los Angeles,33.75,118.2708333,Shanghai,China,5810
Los Angeles,33.75,118.2708333,Kelang,Malaysia,7879
Los Angeles,33.75,118.2708333,Laem Chabang,Thailand,7706
Los Angeles,33.75,118.2708333,Kaohsiung,Taiwan,6117
Los Angeles,33.75,118.2708333,Long Beach,USA,3
Los Angeles,33.75,118.2708333,Oakland,USA,369
Los Angeles,33.75,118.2708333,Seattle-Tacoma,USA,1165
Los Angeles,33.75,118.2708333,Vancouver,Canada,1162
Long Beach,33.77,118.2216667,Busan,Korea,5229
Long Beach,33.77,118.2216667,Hakodate,Japan,4576
Long Beach,33.77,118.2216667,Ho Chi Minh,Vietam,7403
Long Beach,33.77,118.2216667,Singapore,Singapore,7669
Long Beach,33.77,118.2216667,Hong Kong,China,6380
Long Beach,33.77,118.2216667,Kobe,Japan,5185
Long Beach,33.77,118.2216667,Manila,Philippines,6530
Long Beach,33.77,118.2216667,Melbourne,Austrailia,7032
Long Beach,33.77,118.2216667,Shanghai,China,5810
Long Beach,33.77,118.2216667,Kelang,Malaysia,7879
Long Beach,33.77,118.2216667,Laem Chabang,Thailand,7706
Long Beach,33.77,118.2216667,Kaohsiung,Taiwan,6117
Long Beach,33.77,118.2216667,Los Angeles,USA,3
Long Beach,33.77,118.2216667,Oakland,USA,369
Long Beach,33.77,118.2216667,Seattle-Tacoma,USA,1165
Long Beach,33.77,118.2216667,Vancouver,Canada,1162
Seattle-Tacoma,47.05,122.3666667,Busan,Korea,4607
Seattle-Tacoma,47.05,122.3666667,Hakodate,Japan,3941
Seattle-Tacoma,47.05,122.3666667,Ho Chi Minh,Vietam,6590
Seattle-Tacoma,47.05,122.3666667,Singapore,Singapore,7062
Seattle-Tacoma,47.05,122.3666667,Hong Kong,China,5740
Seattle-Tacoma,47.05,122.3666667,Kobe,Japan,4534
Seattle-Tacoma,47.05,122.3666667,Manila,Philippines,5630
Seattle-Tacoma,47.05,122.3666667,Melbourne,Austrailia,7332
Seattle-Tacoma,47.05,122.3666667,Shanghai,China,5094
Seattle-Tacoma,47.05,122.3666667,Kelang,Malaysia,7272
Seattle-Tacoma,47.05,122.3666667,Laem Chabang,Thailand,7111
Seattle-Tacoma,47.05,122.3666667,Kaohsiung,Taiwan,5500
Seattle-Tacoma,47.05,122.3666667,Long Beach,USA,1144
Seattle-Tacoma,47.05,122.3666667,Los Angeles,USA,1148
Seattle-Tacoma,47.05,122.3666667,Oakland,USA,807
Seattle-Tacoma,47.05,122.3666667,Vancouver,Canada,126
Oakland,37.80333333,122.325,Busan,Korea,4917
Oakland,37.80333333,122.325,Hakodate,Japan,4249
Oakland,37.80333333,122.325,Ho Chi Minh,Vietam,6881
Oakland,37.80333333,122.325,Singapore,Singapore,7356
Oakland,37.80333333,122.325,Hong Kong,China,6047
Oakland,37.80333333,122.325,Kobe,Japan,4822
Oakland,37.80333333,122.325,Manila,Philippines,6302
Oakland,37.80333333,122.325,Melbourne,Austrailia,6973
Oakland,37.80333333,122.325,Shanghai,China,5401
Oakland,37.80333333,122.325,Kelang,Malaysia,7566
Oakland,37.80333333,122.325,Laem Chabang,Thailand,7399
Oakland,37.80333333,122.325,Kaohsiung,Taiwan,5807
Oakland,37.80333333,122.325,Long Beach,USA,369
Oakland,37.80333333,122.325,Los Angeles,USA,369
Oakland,37.80333333,122.325,Seattle-Tacoma,USA,796
Oakland,37.80333333,122.325,Vancouver,Canada,812
Vancouver,45.6433,122.7039,Busan,Korea,4623
Vancouver,45.6433,122.7039,Hakodate,Japan,3957
Vancouver,45.6433,122.7039,Ho Chi Minh,Vietam,6606
Vancouver,45.6433,122.7039,Singapore,Singapore,7078
Vancouver,45.6433,122.7039,Hong Kong,China,5756
Vancouver,45.6433,122.7039,Kobe,Japan,4550
Vancouver,45.6433,122.7039,Manila,Philippines,5946
Vancouver,45.6433,122.7039,Melbourne,Austrailia,7342
Vancouver,45.6433,122.7039,Shanghai,China,5110
Vancouver,45.6433,122.7039,Kelang,Malaysia,7288
Vancouver,45.6433,122.7039,Laem Chabang,Thailand,7127
Vancouver,45.6433,122.7039,Kaohsiung,Taiwan,5516
Vancouver,45.6433,122.7039,Long Beach,USA,1162
Vancouver,45.6433,122.7039,Los Angeles,USA,1162
Vancouver,45.6433,122.7039,Seattle-Tacoma,USA,126
Vancouver,45.6433,122.7039,Oakland,USA,812
