Name,Operator,Type,Geared,NominalCapacity,ReeferPlugs,Dwt,Built,Flag,Speed
EVERFOREVER,EVERGREENMARINECORPORATIONLTD,CC,N,12010,0,127076,2020,PANAMA,23
BALTICNORTH,CMA-CGM,CC,N,4228,408,52462,2009,MARSHALLISLANDS,19
CMACGMARCTIC,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMHOPE,CMA-CGM,CC,N,14806,1000,158800,2020,MALTA,21
CMACGMSYMI,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMTENERE,CMA-CGM,CC,N,14812,1000,158800,2020,MALTA,21
APLSANTIAGO,CMA-CGM,CC,N,9326,1014,115077,2014,SINGAPORE,21
APLVANCOUVER,CMA-CGM,CC,N,9326,1014,115059,2013,SINGAPORE,21
APLCOLUMBUS,CMA-CGM,CC,N,9326,1014,115059,2014,SINGAPORE,21
NYKOCEANUS,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2007,PANAMA,21
NYKORION,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2008,PANAMA,21
NYKVEGA,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9012,800,103300,2006,PANAMA,21
NYKVESTA,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9012,800,103300,2007,PANAMA,21
ONEOLYMPUS,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2008,SINGAPORE,21
CMACGMGEMINI,CMA-CGM,CC,N,11388,800,131274,2011,MALTA,22
CMACGMLOIRE,CMA-CGM,CC,N,9365,1458,112729,2015,MALTA,22
CMACGMBLUEWHALE,CMA-CGM,CC,N,5095,330,65892,2007,MALTA,22
CMACGMGEORGIA,CMA-CGM,CC,N,5095,330,65901,2008,MALTA,22
CMACGMNEWJERSEY,CMA-CGM,CC,N,5095,330,65900,2008,MALTA,22
CMACGMSWORDFISH,CMA-CGM,CC,N,5095,330,65987,2007,MALTA,22
CMACGMVIRGINIA,CMA-CGM,CC,N,5095,330,65913,2008,MALTA,22
APLCHONGQING,CMA-CGM,CC,N,10106,800,123137,2011,SINGAPORE,22
APLGWANGYANG,CMA-CGM,CC,N,10106,800,123137,2011,SINGAPORE,22
CMACGMANDROMEDA,CMA-CGM,CC,N,11388,800,131263,2009,MALTA,22
CMACGMRIGOLETTO,CMA-CGM,CC,N,9415,700,114004,2006,FRANCE,22
CMACGMTIGRIS,CMA-CGM,CC,N,10622,1458,112033,2014,MALTA,22
CMACGMTITAN,CMA-CGM,CC,N,11388,800,131228,2009,MALTA,22
CMACGMA.LINCOLN,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
CMACGMAMERIGOVESPUCCI,CMA-CGM,CC,N,13830,800,165040,2010,MALTA,22
CMACGMBRAZIL,CMA-CGM,CC,N,15072,1000,156656,2020,MALTA,22
CMACGMCHILE,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMCHRISTOPHECOLOMB,CMA-CGM,CC,N,13830,800,164340,2009,MALTA,22
CMACGMJ.MADISON,CMA-CGM,CC,N,14414,1400,149071,2018,MALTA,22
CMACGMLAPEROUSE,CMA-CGM,CC,N,13830,800,164920,2010,MALTA,22
CMACGMMAGELLAN,CMA-CGM,CC,N,13830,800,164817,2010,MALTA,22
CMACGMMEXICO,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMPANAMA,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMT.JEFFERSON,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
CMACGMT.ROOSEVELT,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
COSCOSHIPPINGDENALI,COSCOSHIPPINGLINESCOLTD,CC,N,14566,1000,153949,2018,"HONGKONGSAR,CHINA",23
CMACGMMEDEA,CMA-CGM,CC,N,9415,700,113964,2006,FRANCE,23
EVERFINE,EVERGREENMARINECORPORATIONLTD,CC,N,11888,0,130573,2021,PANAMA,23
