Name,Operator,Type,Geared,NominalCapacity,ReeferPlugs,Dwt,Built,Flag,Speed
BALTICNORTH,CMA-CGM,CC,N,4228,408,52462,2009,MARSHALLISLANDS,19
CMACGMBLUEWHALE,CMA-CGM,CC,N,5095,330,65892,2007,MALTA,22
CMACGMGEORGIA,CMA-CGM,CC,N,5095,330,65901,2008,MALTA,22
CMACGMNEWJERSEY,CMA-CGM,CC,N,5095,330,65900,2008,MALTA,22
CMACGMSWORDFISH,CMA-CGM,CC,N,5095,330,65987,2007,MALTA,22
CMACGMVIRGINIA,CMA-CGM,CC,N,5095,330,65913,2008,MALTA,22
EVERFINE,EVERGREENMARINECORPORATIONLTD,CC,N,11888,0,130573,2021,PANAMA,23
EVERFOREVER,EVERGREENMARINECORPORATIONLTD,CC,N,12010,0,127076,2020,PANAMA,23
EVERFRONT,EVERGREENMARINECORPORATIONLTD,CC,N,12118,867,127075,2020,PANAMA,23
CSCLAUTUMN,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLEASTCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121185,2014,"HONGKONGSAR,CHINA",24
CSCLSOUTHCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLSPRING,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121849,2014,"HONGKONGSAR,CHINA",24
CSCLSUMMER,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121805,2014,"HONGKONGSAR,CHINA",24
CSCLYELLOWSEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121193,2014,"HONGKONGSAR,CHINA",24
NYKOCEANUS,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2007,PANAMA,21
NYKORION,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2008,PANAMA,21
NYKVEGA,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9012,800,103300,2006,PANAMA,21
NYKVESTA,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9012,800,103300,2007,PANAMA,21
ONEHONOLULU,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9592,0,96980,2011,PANAMA,23
ONEHUMBER,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8212,800,99214,2006,PANAMA,25
ONEOLYMPUS,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8628,784,99563,2008,SINGAPORE,21
APLSENTOSA,CMA-CGM,CC,N,13892,1200,150166,2014,MALTA,23
CMACGMA.LINCOLN,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
CMACGMALEXANDERVONHUMBOLDT,CMA-CGM,CC,N,16022,1185,186610,2013,MALTA,24
CMACGMAMERIGOVESPUCCI,CMA-CGM,CC,N,13830,800,165040,2010,MALTA,22
CMACGMBRAZIL,CMA-CGM,CC,N,15072,1000,156656,2020,MALTA,22
CMACGMCHILE,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMCHRISTOPHECOLOMB,CMA-CGM,CC,N,13830,800,164340,2009,MALTA,22
CMACGMCORTEREAL,CMA-CGM,CC,N,13830,800,165245,2010,MALTA,24
CMACGMHERMES,CMA-CGM,CC,N,15536,1800,156055,2021,MALTA,24
CMACGMJ.MADISON,CMA-CGM,CC,N,14414,1400,149071,2018,MALTA,22
CMACGMJULESVERNE,CMA-CGM,CC,N,16022,1185,186673,2013,MALTA,24
CMACGMLAPEROUSE,CMA-CGM,CC,N,13830,800,164920,2010,MALTA,22
CMACGMMAGELLAN,CMA-CGM,CC,N,13830,800,164817,2010,MALTA,22
CMACGMMARCOPOLO,CMA-CGM,CC,N,16022,1185,186470,2012,BAHAMAS,24
CMACGMMEXICO,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMPANAMA,CMA-CGM,CC,N,15072,1000,156656,2019,MALTA,22
CMACGMT.JEFFERSON,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
CMACGMT.ROOSEVELT,CMA-CGM,CC,N,14414,1400,148992,2017,MALTA,22
PRESIDENTCLEVELAND,CMACGMASIASHIPPINGPTE.LTD,CC,N,6552,700,84154,2012,UNITEDSTATES,26
PRESIDENTEISENHOWER,CMACGMASIASHIPPINGPTE.LTD,CC,N,7831,500,93558,2005,UNITEDSTATES,24
PRESIDENTFDROOSEVELT,CMACGMASIASHIPPINGPTE.LTD,CC,N,6589,1162,81002,2010,UNITEDSTATES,26
PRESIDENTTRUMAN,CMACGMASIASHIPPINGPTE.LTD,CC,N,6552,700,84154,2014,UNITEDSTATES,26
PRESIDENTWILSON,CMACGMASIASHIPPINGPTE.LTD,CC,N,5780,650,68017,2002,UNITEDSTATES,25
CMACGMARCTIC,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMHOPE,CMA-CGM,CC,N,14806,1000,158800,2020,MALTA,21
CMACGMSYMI,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMTENERE,CMA-CGM,CC,N,14812,1000,158800,2020,MALTA,21
EVERFORWARD,EVERGREENMARINECORPORATIONLTD,CC,N,12118,867,127075,2020,"HONGKONGSAR,CHINA",23
EVERLADEN,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104408,2012,PANAMA,25
EVERLIBERAL,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104281,2014,UNITEDKINGDOM,25
EVERLOTUS,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104262,2013,PANAMA,25
EVERLOVELY,EVERGREENMARINECORPORATIONLTD,CC,N,8508,948,104357,2015,SINGAPORE,25
