Name,Operator,Type,Geared,NominalCapacity,ReeferPlugs,Dwt,Built,Flag,Speed
OOCLCHICAGO,ORIENTOVERSEASCONTAINERLINE.,CC,N,5714,628,67278,2000,"HONGKONGSAR,CHINA",25
OOCLOAKLAND,ORIENTOVERSEASCONTAINERLINE.,CC,N,5888,586,66940,2007,"HONGKONGSAR,CHINA",27
OOCLSANFRANCISCO,ORIENTOVERSEASCONTAINERLINE.,CC,N,5750,500,67313,2000,"HONGKONGSAR,CHINA",25
OOCLVANCOUVER,ORIENTOVERSEASCONTAINERLINE.,CC,N,5888,586,66940,2006,PANAMA,25
SEATTLEC,ORIENTOVERSEASCONTAINERLINE.,CC,N,4253,400,50500,2007,CYPRUS,25
APLCOLUMBUS,CMA-CGM,CC,N,9326,1014,115059,2014,SINGAPORE,21
APLSANTIAGO,CMA-CGM,CC,N,9326,1014,115077,2014,SINGAPORE,21
APLVANCOUVER,CMA-CGM,CC,N,9326,1014,115059,2013,SINGAPORE,21
CMACGMGEMINI,CMA-CGM,CC,N,11388,800,131274,2011,MALTA,22
CMACGMLOIRE,CMA-CGM,CC,N,9365,1458,112729,2015,MALTA,22
CMACGMMEDEA,CMA-CGM,CC,N,9415,700,113964,2006,FRANCE,23
APLCHONGQING,CMA-CGM,CC,N,10106,800,123137,2011,SINGAPORE,22
APLGWANGYANG,CMA-CGM,CC,N,10106,800,123137,2011,SINGAPORE,22
CMACGMANDROMEDA,CMA-CGM,CC,N,11388,800,131263,2009,MALTA,22
CMACGMRIGOLETTO,CMA-CGM,CC,N,9415,700,114004,2006,FRANCE,22
CMACGMTIGRIS,CMA-CGM,CC,N,10622,1458,112033,2014,MALTA,22
CMACGMTITAN,CMA-CGM,CC,N,11388,800,131228,2009,MALTA,22
